,Title,Image,Description,Genre,Duration,Date,ID,text,k_means
785,Not Your Average Influencers,https://ichef.bbci.co.uk/images/ic/1200x675/p090gypc.jpg,Documentary about the lives of social media influencer couple Charlie and Lauren.,documentaries,29 mins,10:30pm 7 Dec 2020,785,documentary life social medium influencer couple Charlie Lauren,0
786,Nadiya's American Adventure - Series 1: 2. California,https://ichef.bbci.co.uk/images/ic/1200x675/p09141kd.jpg,"In California, Nadiya joins a quinceanera and meets an all-female Mexican rodeo team.",documentaries,59 mins,17 Dec 2020,786,California Nadiya join quinceanera meet female mexican rodeo team,12
787,Marcus Rashford: Feeding Britain’s Children,https://ichef.bbci.co.uk/images/ic/1200x675/p090prmx.jpg,Documentary about footballer Marcus Rashford's campaign for free school meals.,documentaries,59 mins,7pm 21 Dec 2020,787,documentary footballer Marcus Rashford campaign free school meal,0
788,Dynasties - Meerkat: A Dynasties Special,https://ichef.bbci.co.uk/images/ic/1200x675/p0911ccs.jpg,A young meerkat queen must unite her family if her pups are to survive in a harsh land.,documentaries,58 mins,28 Dec 2020,788,young meerkat queen unite family pup survive harsh land,1
789,Dystonia: Beatha air Fhiaradh,https://ichef.bbci.co.uk/images/ic/1200x675/p090v9kt.jpg,DK MacPhee reveals what it is like to live with dystonia.,documentaries,59 mins,29 Dec 2020,789,DK MacPhee reveal like live dystonia,10
790,Michael Palin’s Himalaya: Journey of a Lifetime,https://ichef.bbci.co.uk/images/ic/1200x675/p090hhgl.jpg,"Michael Palin recalls his fifth great journey, exploring across and around the Himalaya.",documentaries,89 mins,8pm 20 Dec 2020,790,Michael Palin recall fifth great journey explore Himalaya,9
791,Gloria: My Life on TV,https://ichef.bbci.co.uk/images/ic/1200x675/p090v0tp.jpg,Broadcaster Gloria Hunniford looks back at her extraordinary life and career.,documentaries,59 mins,10:30pm 28 Dec 2020,791,Broadcaster Gloria Hunniford look extraordinary life career,2
792,Lucy Worsley's Royal Palace Secrets - Audio Described,https://ichef.bbci.co.uk/images/ic/1200x675/p09234x0.jpg,Lucy Worsley takes us behind closed doors at three treasure-filled royal palaces.,documentaries,54 mins,6 Jan 2021,792,Lucy Worsley take closed door treasure fill royal palace,0
793,Last Woman on Earth with Sara Pascoe - Series 1: 2. Georgia,https://ichef.bbci.co.uk/images/ic/1200x675/p0929bjn.jpg,"Sara Pascoe learns about Georgia’s unique jobs, including how to be a Stalin Museum guide.",documentaries,59 mins,9pm 3 Jan 2021,793,Sara Pascoe learn Georgia unique job include Stalin Museum guide,0
794,"'Til Kingdom Come: Trump, Faith and Money",https://ichef.bbci.co.uk/images/ic/1200x675/p0943h9m.jpg,Documentary about an unusual philanthropic relationship that links Kentucky with Israel.,documentaries,71 mins,19 Jan 2021,794,documentary unusual philanthropic relationship link Kentucky Israel,0
795,Silenced: The Hidden Story of Disabled Britain,https://ichef.bbci.co.uk/images/ic/1200x675/p093zwnm.jpg,The untold story of how disabled people fought back against decades of fear and prejudice.,documentaries,59 mins,9pm 19 Jan 2021,795,untold story disabled people fight decade fear prejudice,14
796,Targeted: The Truth about Disability Hate Crime,https://ichef.bbci.co.uk/images/ic/1200x675/p093zwv8.jpg,A film about the routine aggression and abuse faced by disabled people in today's Britain.,documentaries,58 mins,9pm 20 Jan 2021,796,film routine aggression abuse face disabled people today Britain,11
797,Life of a Mountain - A Year on Helvellyn,https://ichef.bbci.co.uk/images/ic/1200x675/p094gh6l.jpg,Terry Abraham's film of Helvellyn features a low-level flight through its landscape.,documentaries,89 mins,26 Jan 2021,797,Terry Abraham film Helvellyn feature low level flight landscape,0
798,Katie Price: Harvey and Me,https://ichef.bbci.co.uk/images/ic/1200x675/p094g7rm.jpg,"Katie Price and her disabled son Harvey face a crucial year of his life, as he turns 18.",documentaries,58 mins,8:30pm 25 Jan 2021,798,Katie Price disabled son Harvey face crucial year life turn 18,12
799,Stonehenge: The Lost Circle Revealed - Audio Described,https://ichef.bbci.co.uk/images/ic/1200x675/p095tt3y.jpg,Alice Roberts follows a decade-long quest that reveals Stonehenge's oldest secret.,documentaries,59 mins,12 Feb 2021,799,Alice Roberts follow decade long quest reveal Stonehenge old secret,10
800,Incredible Journeys with Simon Reeve - Series 1: Episode 4,https://ichef.bbci.co.uk/images/ic/1200x675/p096cr64.jpg,Simon looks at his journeys across the world’s most spectacular and unspoilt wildernesses.,documentaries,58 mins,8pm 14 Feb 2021,800,Simon look journey world spectacular unspoilt wilderness,2
801,Trump Takes on the World - Series 1: Episode 3 - Audio Described,https://ichef.bbci.co.uk/images/ic/1200x675/p0974pmb.jpg,"In the final episode, Trump sets his sights on Asia.",documentaries,59 mins,24 Feb 2021,801,final episode Trump set sight Asia,0
802,Cornwall: This Fishing Life - Series 2: Episode 6 - Audio Described,https://ichef.bbci.co.uk/images/ic/1200x675/p09779dc.jpg,Will Brexit negotiations bring a positive outcome for Cornwall’s biggest fishing port?,documentaries,59 mins,22 Feb 2021,802,Brexit negotiation bring positive outcome Cornwall big fishing port,0
803,The Sporting L Word,https://ichef.bbci.co.uk/images/ic/1200x675/p097tjrw.jpg,Clare Balding looks at what it means to be a gay woman in sport.,documentaries,25 mins,12:30am 27 Feb 2021,803,Clare Balding look mean gay woman sport,2
804,Raiders of the Lost Past with Janina Ramirez - Series 2: 3. World's First City,https://ichef.bbci.co.uk/images/ic/1200x675/p097sz7d.jpg,A young explorer stumbles on the buried remains of the world’s oldest city.,documentaries,59 mins,9pm 5 Mar 2021,804,young explorer stumble bury remain world old city,12
805,Why Is Covid Killing People of Colour?,https://ichef.bbci.co.uk/images/ic/1200x675/p097sm6d.jpg,David Harewood investigates the reasons behind health inequality in modern Britain.,documentaries,59 mins,9pm 2 Mar 2021,805,David Harewood investigate reason health inequality modern Britain,8
806,Darren McGarvey’s Class Wars - Series 1: 4. Rear-view Mirror,https://ichef.bbci.co.uk/images/ic/1200x675/p0980k56.jpg,"As Darren examines social class, he questions its lasting legacy on our lives.",documentaries,58 mins,10pm 2 Mar 2021,806,Darren examine social class question last legacy life,0
807,Attenborough's Life in Colour - Series 1: 2. Hiding in Colour,https://ichef.bbci.co.uk/images/ic/1200x675/p0980s9m.jpg,How animals use colour to hide and disappear into the background.,documentaries,58 mins,7 Mar 2021,807,animal use colour hide disappear background,0
808,I Can't Say My Name: Stammering in the Spotlight,https://ichef.bbci.co.uk/images/ic/1200x675/p098l7pv.jpg,"Felicity Baker, who has a stammer, reveals what it's like to live with the condition.",documentaries,27 mins,7:30pm 10 Mar 2021,808,Felicity Baker stammer reveal like live condition,10
809,Bump Birth Baby - Series 2: Episode 6,https://ichef.bbci.co.uk/images/ic/1200x675/p098c9tz.jpg,Ayden discusses her mental health as she balances work life and time with her children.,documentaries,28 mins,8 Mar 2021,809,Ayden discuss mental health balance work life time child,3
810,Billie: In Search of Billie Holiday,https://ichef.bbci.co.uk/images/ic/1200x675/p099j087.jpg,Documentary showcasing American legend Billie Holiday.,documentaries,90 mins,9:45pm 13 Mar 2021,810,documentary showcasing american legend Billie Holiday,0
811,Beidh Aonach Amárach - Series 3: Episode 6,https://ichef.bbci.co.uk/images/ic/1200x675/p0990gg8.jpg,We meet the father-and-daughter sheep-shearing judges in County Westmeath.,documentaries,28 mins,10pm 15 Mar 2021,811,meet father daughter sheep shear judge County Westmeath,11
812,Pizza Boys - Series 1: Episode 5,https://ichef.bbci.co.uk/images/ic/1200x675/p0990j25.jpg,The Pizza Boys face their destiny. All that’s between them and world glory is one pizza. ,documentaries,29 mins,17 Mar 2021,812,Pizza Boys face destiny world glory pizza,0
813,Black Power: A British Story of Resistance,https://ichef.bbci.co.uk/images/ic/1200x675/p099wjfl.jpg,An examination of the Black Power movement in the late 1960s in the UK.,documentaries,89 mins,9pm 25 Mar 2021,813,examination Black Power movement late 1960 UK,8
814,Football's Darkest Secret - Series 1: 3. The Reckoning,https://ichef.bbci.co.uk/images/ic/1200x675/p09b2mfy.jpg,What might justice look like for the men whose lives have been torn apart?,documentaries,60 mins,22 Mar 2021,814,justice look like man life tear apart,2
815,Sellafield’s 'Toxic Culture',https://ichef.bbci.co.uk/images/ic/1200x675/p099hkjc.jpg,Jim Reed investigates allegations of a culture of bullying and harassment at Sellafield.,documentaries,11 mins,7:30pm 14 Mar 2021,815,Jim Reed investigate allegation culture bullying harassment Sellafield,8
816,Gold Town - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p09b6str.jpg,"The pandemic hits the UK, causing local business to take a huge hit.",documentaries,59 mins,9pm 21 Mar 2021,816,pandemic hit UK cause local business huge hit,8
817,Wales: Land of the Wild - Secrets,https://ichef.bbci.co.uk/images/ic/1200x675/p099qmqc.jpg,"An epic journey following Wales’s rivers, discovering wild secrets along the way.",documentaries,59 mins,25 Mar 2021,817,epic journey follow Wales river discover wild secret way,1
818,Grand Tours of Scotland's Lochs - Series 4: 6. The Forgotten Lands,https://ichef.bbci.co.uk/images/ic/1200x675/p05d762d.jpg,Paul explores the lochs of Morvern and Lochaber.,documentaries,29 mins,8pm 24 Mar 2021,818,Paul explore loch Morvern Lochaber,0
819,Brotherhood: The Inner Life of Monks,https://ichef.bbci.co.uk/images/ic/1200x675/p09bxk7n.jpg,A community of ageing monks prepare to open the first Trappist brewery in the UK.,documentaries,59 mins,8pm 28 Mar 2021,819,community age monk prepare open trappist brewery UK,8
820,Finding Jack Charlton,https://ichef.bbci.co.uk/images/ic/1200x675/p09bnzl2.jpg,"The compelling, emotional and definitive portrait of footballer Jack Charlton.",documentaries,95 mins,29 Mar 2021,820,compelling emotional definitive portrait footballer Jack Charlton,0
821,At Home with the Gettys,https://ichef.bbci.co.uk/images/ic/1200x675/p09bknny.jpg,"Inside the world of Keith and Kristyn Getty, a modern hymn-writing duo with global success",documentaries,29 mins,10:45pm 1 Apr 2021,821,inside world Keith Kristyn Getty modern hymn writing duo global success,0
822,Louis Theroux - Shooting Joe Exotic,https://ichef.bbci.co.uk/images/ic/1200x675/p09d6m19.jpg,Louis investigates a captivating and controversial icon: 'Tiger King' Joe Exotic.,documentaries,89 mins,9pm 5 Apr 2021,822,Louis investigate captivating controversial icon Tiger King Joe Exotic,8
823,Remarkable Places to Eat - Series 3: 2. New Forest,https://ichef.bbci.co.uk/images/ic/1200x675/p09bxnxw.jpg,"Chris Bavin takes Fred to the New Forest, where fresh seasonal produce is king.",documentaries,59 mins,8pm 6 Apr 2021,823,Chris Bavin take Fred New Forest fresh seasonal produce king,14
824,Keepin 'er Country - At Home: Derek Ryan,https://ichef.bbci.co.uk/images/ic/1200x675/p09c3rnp.jpg,Derek Ryan welcomes us to his home for some chat and a very special musical performance.,documentaries,29 mins,10:30pm 5 Apr 2021,824,Derek Ryan welcome home chat special musical performance,7
825,Tréigthe - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p09c3qt4.jpg,Cormac Ó hÁdhmaill visits a deserted lighthouse.,documentaries,29 mins,10:30pm 5 Apr 2021,825,Cormac Ó hÁdhmaill visit deserted lighthouse,0
826,Greetings from Scotland - Series 1: Episode 2,https://ichef.bbci.co.uk/images/ic/1200x675/p09czd1p.jpg,A humorous look at the Scottish tourism industry through the years.,documentaries,58 mins,10pm 13 Apr 2021,826,humorous look scottish tourism industry year,2
827,Different League: The Derry City Story,https://ichef.bbci.co.uk/images/ic/1200x675/p09nplht.jpg,"The story of how Derry City FC, exiled for 13 years, was brought back from the dead.",documentaries,59 mins,19 Apr 2021,827,story Derry City FC exile 13 year bring dead,12
828,A Tribute to HRH Duke of Edinburgh,https://ichef.bbci.co.uk/images/ic/1200x675/p09d7gph.jpg,"The remarkable life story of HRH the Duke of Edinburgh, Prince Philip.",documentaries,58 mins,9 Apr 2021,828,remarkable life story HRH Duke Edinburgh Prince Philip,14
829,Climate Change: Ade on the Frontline - Series 1: 3. Scandinavia,https://ichef.bbci.co.uk/images/ic/1200x675/p09f5wy1.jpg,"For the final leg of his journey, Ade heads to Scandinavia.",documentaries,59 mins,8pm 25 Apr 2021,829,final leg journey Ade head Scandinavia,9
830,Bent Coppers: Crossing the Line of Duty - Series 1: 3. Taking a Drink,https://ichef.bbci.co.uk/images/ic/1200x675/p09f4c4c.jpg,Secret recordings expose corruption between cops and armed robbers.,documentaries,60 mins,9pm 28 Apr 2021,830,secret recording expose corruption cop armed robber,0
831,Royal Wedding: A Day to Remember,https://ichef.bbci.co.uk/images/ic/1200x675/p09fdz72.jpg,A look back at the wedding of Prince William and Catherine Middleton.,documentaries,59 mins,7:30pm 30 Apr 2021,831,look wedding Prince William Catherine Middleton,2
832,Dale Barclay: All On Black,https://ichef.bbci.co.uk/images/ic/1200x675/p09fbjc3.jpg,"The story of the Amazing Snakeheads frontman, Dale Barclay.",documentaries,44 mins,27 Apr 2021,832,story Amazing Snakeheads frontman Dale Barclay,14
833,Hayley: Virgin Voter,https://ichef.bbci.co.uk/images/ic/1200x675/p09f95n5.jpg,Virgin voter Hayley Pearce gets a crash course in Welsh politics.,documentaries,29 mins,26 Apr 2021,833,virgin voter Hayley Pearce get crash course Welsh politic,0
834,The Violence Paradox - Series 1: Episode 2,https://ichef.bbci.co.uk/images/ic/1200x675/p09fwrh4.jpg,Is the world becoming more peaceful? Do income equality and sport curb violence?,documentaries,54 mins,9:55pm 4 May 2021,834,world peaceful income equality sport curb violence,0
835,Make-up: A Glamorous History - Series 1: 3. Britain in the Roaring 20s,https://ichef.bbci.co.uk/images/ic/1200x675/p09g1jy5.jpg,Lisa Eldridge examines how the look of 1920s flappers reflected the freedoms of the era.,documentaries,59 mins,4 May 2021,835,Lisa Eldridge examine look 1920s flapper reflect freedom era,2
836,Dom Digs In - Series 1: 10. Roadside Assistance,https://ichef.bbci.co.uk/images/ic/1200x675/p09g05n1.jpg,"Can Dom make it as a roadside mechanic, or will he be a spanner in the works?",documentaries,43 mins,11am 7 May 2021,836,Dom roadside mechanic spanner work,0
837,Ian Wright: Home Truths,https://ichef.bbci.co.uk/images/ic/1200x675/p09hgckl.jpg,Ian Wright investigates the effects of growing up in a psychologically violent home.,documentaries,58 mins,9pm 6 May 2021,837,Ian Wright investigate effect grow psychologically violent home,7
838,The Trial of Derek Chauvin,https://ichef.bbci.co.uk/images/ic/1200x675/p09ffjzh.jpg,Nada Tawfik reports on the outcome of the trail of Derek Chauvin.,documentaries,26 mins,23 Apr 2021,838,Nada Tawfik report outcome trail Derek Chauvin,0
839,Killing Escobar,https://ichef.bbci.co.uk/images/ic/1200x675/p09fxtjt.jpg,The true story of a Scottish mercenary hired to kill Colombian drug lord Pablo Escobar.,documentaries,89 mins,4 May 2021,839,true story scottish mercenary hire kill colombian drug lord Pablo Escobar,14
840,Croí Uladh le John Toal - Series 2: Episode 4,https://ichef.bbci.co.uk/images/ic/1200x675/p09gkbsy.jpg,John visits some of the Spanish Civil War memorials around Belfast.,documentaries,29 mins,10:30pm 3 May 2021,840,John visit Spanish Civil War memorial Belfast,13
841,Heist: The Northern Bank Robbery,https://ichef.bbci.co.uk/images/ic/1200x675/p09g5w8w.jpg,New light shed on one of the UK’s most notorious crimes - the Northern Bank Robbery.,documentaries,59 mins,9pm 3 May 2021,841,new light shed UK notorious crime Northern Bank Robbery,8
842,Great British Railway Journeys - Series 12: 15. Aberystwyth to Newtown,https://ichef.bbci.co.uk/images/ic/1200x675/p09gyndn.jpg,Michael travels from Aberystwyth into the Cambrian Mountains and finishes in Newtown.,documentaries,29 mins,6:30pm 14 May 2021,842,Michael travel Aberystwyth cambrian Mountains finish Newtown,0
843,Classic British Cars: Made in Coventry,https://ichef.bbci.co.uk/images/ic/1200x675/p09h7nz2.jpg,"Mark Evans tells the story of Coventry’s classic cars, from the Daimler to the Jaguar.",documentaries,59 mins,17 May 2021,843,Mark Evans tell story Coventry classic car Daimler Jaguar,14
844,The Psychedelic Drug Trial,https://ichef.bbci.co.uk/images/ic/1200x675/p09hc8km.jpg,Can psychedelic drugs and psychological support help tackle depression?,documentaries,59 mins,9pm 19 May 2021,844,psychedelic drug psychological support help tackle depression,11
845,Subnormal: A British Scandal,https://ichef.bbci.co.uk/images/ic/1200x675/p09hc1fz.jpg,An examination of one of the biggest scandals in the history of British education.,documentaries,59 mins,20 May 2021,845,examination big scandal history british education,0
846,Home Ground - Series 10: Episode 5,https://ichef.bbci.co.uk/images/ic/1200x675/p09htg95.jpg,Gavin Andrews joins a thatcher restoring an old cottage in Co. Down.,documentaries,29 mins,7:30pm 19 May 2021,846,Gavin Andrews join thatcher restore old cottage Co.,0
847,"Football, Racism and Social Media",https://ichef.bbci.co.uk/images/ic/1200x675/p09j78w2.jpg,Nesta McGregor looks into racist abuse in football and on social media.,documentaries,28 mins,15 May 2021,847,Nesta McGregor look racist abuse football social medium,2
848,The Black American Fight for Freedom,https://ichef.bbci.co.uk/images/ic/1200x675/p09j4v3w.jpg,Revealing the moments where America had the chance to become more equal but failed.,documentaries,59 mins,9pm 26 May 2021,848,reveal moment America chance equal fail,10
849,If You Love Your Baby… The Story of Forced Adoptions,https://ichef.bbci.co.uk/images/ic/1200x675/p09jthqc.jpg,The story of historical forced adoptions and the mothers’ search for justice.,documentaries,26 mins,1:30pm 29 May 2021,849,story historical force adoption mother search justice,14
850,Mark Walters in the Footsteps of Andrew Watson,https://ichef.bbci.co.uk/images/ic/1200x675/p09hwy1p.jpg,Mark Walters looks back at his time with Rangers FC and discovers Andrew Watson's story.,documentaries,58 mins,10pm 25 May 2021,850,Mark Walters look time Rangers FC discover Andrew Watson story,2
851,Once Were Brothers: Robbie Robertson and The Band,https://ichef.bbci.co.uk/images/ic/1200x675/p09jtcj9.jpg,"The moving back story of The Band and its creator, Robbie Robertson.",documentaries,95 mins,9pm 4 Jun 2021,851,move story Band creator Robbie Robertson,14
852,Yorkshire Firefighters - Series 1: Episode 4,https://ichef.bbci.co.uk/images/ic/1200x675/p09jwqy4.jpg,West Yorkshire fire crews try to save a burning factory and rookie Lauren faces her exams.,documentaries,58 mins,2 Jun 2021,852,West Yorkshire fire crew try save burn factory rookie Lauren face exam,0
853,Scotland’s Football Jukebox,https://ichef.bbci.co.uk/images/ic/1200x675/p09k7mtv.jpg,A look at the best Scottish football anthems throughout the years.,documentaries,58 mins,10:30pm 4 Jun 2021,853,look good scottish football anthem year,2
854,George Floyd: One Year On,https://ichef.bbci.co.uk/images/ic/1200x675/p09jrms4.jpg,Clive Myrie and Adina Campbell report on the global impact of George Floyd's death.,documentaries,23 mins,26 May 2021,854,Clive Myrie Adina Campbell report global impact George Floyd death,0
855,Whiskey Talkin',https://ichef.bbci.co.uk/images/ic/1200x675/p09jfxqc.jpg,"Exploring the fascinating story of Irish whiskey, once a major industry in Ulster.",documentaries,59 mins,10pm 30 May 2021,855,explore fascinating story irish whiskey major industry Ulster,14
856,Extra Life: A Short History of Living Longer - Series 1: 4. Behaviour,https://ichef.bbci.co.uk/images/ic/1200x675/p09kfqyz.jpg,How acting upon public messaging can have a significant impact on the spread of disease.,documentaries,53 mins,10pm 8 Jun 2021,856,act public messaging significant impact spread disease,0
857,Curtain-Up on Coventry,https://ichef.bbci.co.uk/images/ic/1200x675/p09klth6.jpg,Coventry celebrates the start of a big year as UK City of Culture 2021.,documentaries,29 mins,7:35pm 7 Jun 2021,857,coventry celebrate start big year UK City Culture 2021,8
858,Detained in America,https://ichef.bbci.co.uk/images/ic/1200x675/p09kl2vl.jpg,"A vast system of camps scattered across the US hold more than 20,000 migrant children.",documentaries,23 mins,29 May 2021,858,"vast system camp scatter hold 20,000 migrant child",0
859,Statue Wars: One Summer in Bristol,https://ichef.bbci.co.uk/images/ic/1200x675/p09kspw9.jpg,Documenting the events that followed the toppling of the Colston statue in Bristol.,documentaries,59 mins,10 Jun 2021,859,document event follow toppling Colston statue Bristol,0
860,Springwatch - 2021: Episode 12,https://ichef.bbci.co.uk/images/ic/1200x675/p09k7p5d.jpg,Chris and Michaela round up this year’s Springwatch nest cameras in Norfolk.,documentaries,59 mins,8pm 11 Jun 2021,860,Chris Michaela round year springwatch nest camera Norfolk,12
861,Our Cops in the North - Series 1: Episode 5,https://ichef.bbci.co.uk/images/ic/1200x675/p07gbqrx.jpg,"A man has died in a fire, but the evidence has gone up in smoke. Is it accident or murder?",documentaries,57 mins,7 Jun 2021,861,man die fire evidence go smoke accident murder,0
862,Krept and Konan: We Are England,https://ichef.bbci.co.uk/images/ic/1200x675/p09krxxx.jpg,Rappers Krept and Konan explore Englishness while creating a Euros football anthem.,documentaries,57 mins,10:45pm 9 Jun 2021,862,rapper Krept Konan explore Englishness create Euros football anthem,0
863,The Search - Series 3: Episode 1,https://ichef.bbci.co.uk/images/ic/1200x675/p06y42m0.jpg,Following the CRS as they search for missing people across Northern Ireland.,documentaries,59 mins,10:45pm 7 Jun 2021,863,follow CRS search miss people Northern Ireland,0
864,Witnessing India's Covid Crisis,https://ichef.bbci.co.uk/images/ic/1200x675/p09kz2dc.jpg,"Yogita Limaye travelled to India, as the second wave of covid-19 unfolded in the country.",documentaries,16 mins,29 May 2021,864,Yogita Limaye travel India second wave covid-19 unfold country,0
865,Hospital - Series 7: Episode 6,https://ichef.bbci.co.uk/images/ic/1200x675/p09l2dwf.jpg,"With restoration funding uncertain, robotic state-of-the-art surgery hangs in the balance.",documentaries,59 mins,9pm 15 Jun 2021,865,restoration funding uncertain robotic state art surgery hang balance,0
866,Peter Taylor: Ireland After Partition,https://ichef.bbci.co.uk/images/ic/1200x675/p09kz70r.jpg,Peter Taylor revisits his films to reflect on the controversial issue of a united Ireland.,documentaries,59 mins,9pm 14 Jun 2021,866,Peter Taylor revisit film reflect controversial issue united Ireland,0
867,Horizon - 2021: 1. Horizon Special: The Vaccine,https://ichef.bbci.co.uk/images/ic/1200x675/p09l3g7y.jpg,The extraordinary inside story of the vaccine scientists who took on Covid-19 - and won.,documentaries,89 mins,16 Jun 2021,867,extraordinary inside story vaccine scientist take Covid-19 win,14
868,Cannabis: America's 'Green Gold Rush',https://ichef.bbci.co.uk/images/ic/1200x675/p09lkdpf.jpg,"In New Mexico, a bizarre boom and bust of marijuana has become a cautionary tale.",documentaries,23 mins,1:30pm 19 Jun 2021,868,New Mexico bizarre boom bust marijuana cautionary tale,14
869,Chris Packham: The Walk That Made Me,https://ichef.bbci.co.uk/images/ic/1200x675/p09pxtzt.jpg,Chris Packham explores his past as he walks a familiar path in the Hampshire countryside.,documentaries,59 mins,9 Jul 2021,869,Chris Packham explore past walk familiar path Hampshire countryside,0
870,The Cruise - 12. Teach Me Tonight,https://ichef.bbci.co.uk/images/ic/1200x675/p09ls5f0.jpg,Romance is in the air when Laura marries Gary.,documentaries,28 mins,18 Feb 1998,870,romance air Laura marry Gary,0
871,Our NHS: A Hidden History,https://ichef.bbci.co.uk/images/ic/1200x675/p09nwx4k.jpg,David Olusoga meets the overseas health workers who have transformed the NHS.,documentaries,58 mins,15 Jul 2021,871,David Olusoga meet overseas health worker transform NHS,11
872,Who Believes in Psychics?,https://ichef.bbci.co.uk/images/ic/1200x675/p09p5hpm.jpg,Film-maker Conor Reilly delves into the world of psychic mediums.,documentaries,28 mins,10:30pm 12 Jul 2021,872,film maker Conor Reilly delve world psychic medium,0
873,Return to... The Cruise - Episode 5,https://ichef.bbci.co.uk/images/ic/1200x675/p09p547z.jpg,Jane McDonald looks back on her maiden voyage.,documentaries,28 mins,15 Aug 2008,873,Jane McDonald look maiden voyage,2
874,Reclaiming Amy,https://ichef.bbci.co.uk/images/ic/1200x675/p09pt4xm.jpg,The friends and family of Amy Winehouse reveal the truth about the British music icon.,documentaries,58 mins,9pm 23 Jul 2021,874,friend family Amy Winehouse reveal truth british music icon,10
875,Uprising - Series 1: 3. The Front Line,https://ichef.bbci.co.uk/images/ic/1200x675/p09pjw55.jpg,How an unprecedented wave of riots swept the nation in 1981.,documentaries,59 mins,20 Jul 2021,875,unprecedented wave riot sweep nation 1981,0
876,Gold Rush: Our Race to Olympic Glory - Series 1: Episode 3,https://ichef.bbci.co.uk/images/ic/1200x675/p09pn0w9.jpg,Britain’s athletes have four years to topple the sporting superpowers at London 2012.,documentaries,59 mins,9pm 19 Jul 2021,876,Britain athlete year topple sporting superpower London 2012,11
877,Jade Jones: Fighting for Gold,https://ichef.bbci.co.uk/images/ic/1200x675/p09pf1gb.jpg,An intimate and up-close portrait of double Olympic taekwondo gold medalist Jade Jones.,documentaries,29 mins,20 Jul 2021,877,intimate close portrait double olympic taekwondo gold medalist Jade Jones,0
878,TikTok Queen at 16,https://ichef.bbci.co.uk/images/ic/1200x675/p09p4tpc.jpg,Documentary following 16-year-old TikTok sensation Kristen Scott.,documentaries,28 mins,10:30pm 19 Jul 2021,878,documentary follow 16 year old TikTok sensation Kristen Scott,12
879,The Bhangra Boss - The Story of DJ Vips,https://ichef.bbci.co.uk/images/ic/1200x675/p09q8p4w.jpg,The story of successful Edinburgh-based Bhangra DJ and record label boss DJ Vips.,documentaries,28 mins,10:30pm 26 Jul 2021,879,story successful Edinburgh base Bhangra DJ record label boss DJ Vips,14
880,My Friend from a Care Home - 2. Part Two,https://ichef.bbci.co.uk/images/ic/1200x675/p09q3ctm.jpg,"Many Russians with special needs live with up to 1,000 others in huge care homes.",documentaries,23 mins,30 Jul 2021,880,"Russians special need live 1,000 huge care home",7
881,Harry Birrell Presents Films of Scotland - Series 1: Episode 2,https://ichef.bbci.co.uk/images/ic/1200x675/p09q7qrs.jpg,Harry's personal documentaries filmed from the 1950s onwards in Scotland.,documentaries,28 mins,10pm 3 Aug 2021,881,Harry personal documentary film 1950 onwards Scotland,0
882,The Disasters That Shocked Scotland - Series 1: Episode 6,https://ichef.bbci.co.uk/images/ic/1200x675/p09mtrln.jpg,Exploring the 2014 bin lorry crash and the 1971 Clarkston gas explosion.,documentaries,28 mins,8pm 4 Aug 2021,882,explore 2014 bin lorry crash 1971 Clarkston gas explosion,0
883,The Riots 2011: One Week in August,https://ichef.bbci.co.uk/images/ic/1200x675/p09rrjqp.jpg,This revelatory film hears from those who experienced the 2011 riots.,documentaries,89 mins,9 Aug 2021,883,revelatory film hear experience 2011 riot,0
884,Rigs of Nigg,https://ichef.bbci.co.uk/images/ic/1200x675/p09s57m1.jpg,"The story of how over 5,000 men came together to create oil platforms in the North Sea.",documentaries,58 mins,10pm 17 Aug 2021,884,"story 5,000 man come create oil platform North Sea",14
885,Right Here - Series 1: 6. Isabel’s Independence,https://ichef.bbci.co.uk/images/ic/1200x675/p09rtrqq.jpg,"Isabel, 58, has decided to start over by moving from Spain to Edinburgh. ",documentaries,28 mins,8pm 18 Aug 2021,885,Isabel 58 decide start move Spain Edinburgh,11
886,Aquarela,https://ichef.bbci.co.uk/images/ic/1200x675/p09ss26y.jpg,A cinematic journey through the transformative beauty and raw power of water.,documentaries,82 mins,25 Aug 2021,886,cinematic journey transformative beauty raw power water,9
887,China's Magic Weapon,https://ichef.bbci.co.uk/images/ic/1200x675/p09snmgz.jpg,Governments around the world are uncovering secret operations to expand China's influence.,documentaries,59 mins,9pm 23 Aug 2021,887,government world uncover secret operation expand China influence,0
888,Scotland the Rave,https://ichef.bbci.co.uk/images/ic/1200x675/p09symt1.jpg,Author Graeme Armstrong dives into the little-explored world of the Scottish rave scene.,documentaries,58 mins,10pm 24 Aug 2021,888,Author Graeme Armstrong dive little explore world scottish rave scene,0
889,In Tandem: The Neil Fachie Story,https://ichef.bbci.co.uk/images/ic/1200x675/p09sfzfj.jpg,"A profile of Scotland’s most decorated track cyclist, Neil Fachie.",documentaries,58 mins,9pm 27 Aug 2021,889,profile Scotland decorate track cyclist Neil Fachie,0
890,"Mothers, Missiles and the American President",https://ichef.bbci.co.uk/images/ic/1200x675/p09s46m2.jpg,How three sisters risked it all to take action over the threat of nuclear war in the 1980s,documentaries,59 mins,25 Aug 2021,890,sister risk action threat nuclear war 1980s,13
